titulo;link;vistas;authors;ultimaActualizacion;last_chapter
Shisen No Toriko;https://manganelo.com/manga/zp921665;39631;Woof-woof Mountain King;Dec 31,19;1
Odagiri-San Ni Wa, Kikirimai;https://manganelo.com/manga/qd922036;19537;Kapparappara;Feb 01,20;1
His Majesty High Price Babay;https://manganelo.com/manga/ss922038;20855;unknown;Feb 01,20;1
A Girl Like Alien;https://manganelo.com/manga/su922025;21949;nebillim;Feb 01,20;1
The Treasure Fell Off The Emperor's Sky;https://manganelo.com/manga/gj922042;20236;unknown;Feb 02,20;1
Ningen Shikkaku (Dazai Osamu);https://manganelo.com/manga/ningen_shikkaku_dazai_osamu;40675;Yoshihiro Sono,Manatsu Suzuki,Mado Nozaki;Feb 02,20;1
Girl That Can See It (Pixiv);https://manganelo.com/manga/fp917814;1448292;Tomoki Izumi;Feb 02,20;1
The Cute Wife Of The Cold Chairman;https://manganelo.com/manga/rh922053;10616;unknown;Feb 03,20;1
Transition To Another World, Landmines Included;https://manganelo.com/manga/gf921580;89361;Relucy,Mizuho Itsuki;Feb 03,20;1
Isekai Teni, Jirai Tsuki.;https://manganelo.com/manga/ez921576;155819;Itsuki Mizuho;Feb 03,20;1
Knitting Corner;https://manganelo.com/manga/vl922073;7002;Soyoung;Feb 04,20;1
Stairs;https://manganelo.com/manga/br922065;7661;ongoo;Feb 04,20;1
Shiosai No Majo;https://manganelo.com/manga/pr922074;18973;Mogusu;Feb 04,20;1
My Blind Date Is A Womanizing Cop;https://manganelo.com/manga/zu922069;147067;Odorudokuringo;Feb 04,20;1
Juice Wo Nondara Xxx Ni Nacchau Onnanoko.;https://manganelo.com/manga/vm922081;21128;Katino;Feb 05,20;1
Mofuku No Hanayome.;https://manganelo.com/manga/vw922102;33220;Iroha Megu;Feb 07,20;1
Princess Wars;https://manganelo.com/manga/xs922115;16587;Fire culture - Hu jing - Luo jie;Feb 08,20;1
Bullet 6Mm;https://manganelo.com/manga/td922114;17283;Kim Dogeun;Feb 08,20;1
A Girl Meets Sex Toys: Akane Oguri Indulge In Onanism;https://manganelo.com/manga/nr922113;50522;Purapa;Feb 08,20;1
Musebenake, Junjou;https://manganelo.com/manga/qn922111;59922;Matsumoto Yoh;Feb 08,20;1
Kuro Gyaru-San Ga Kuru!;https://manganelo.com/manga/gf922120;69484;Tamagoro;Feb 08,20;1
Mermaid's Voice;https://manganelo.com/manga/kl922131;9879;Gene;Feb 09,20;1
Masked Rider Kuuga;https://manganelo.com/manga/lw922126;9953;Inoue Toshiki;Feb 09,20;1
Please Eat Without Hesitation;https://manganelo.com/manga/dm922130;12306;Chaeban;Feb 09,20;1
Deep Insanity;https://manganelo.com/manga/oe922124;25908;Fukami Makoto, Kaihou Norimitsu;Feb 09,20;1
Houtou Musuko To Koi No Ana;https://manganelo.com/manga/le922125;64044;Kyuugou;Feb 09,20;1
The Special Girl;https://manganelo.com/manga/le922064;43399;unknown;Feb 11,20;1
Eiga Koe No Katachi Special Book;https://manganelo.com/manga/iw922148;15830;Ooima Yoshitoki;Feb 12,20;1
Peerless Battle Spirit (Tian Cang Zi Dongman);https://manganelo.com/manga/po922140;32455;Tian cang zi dongman;Feb 13,20;1
At The End Of The World, I Still Want To Be With You;https://manganelo.com/manga/tj922159;45980;Gene;Feb 13,20;1
Karera O Meguru Subete;https://manganelo.com/manga/pv922175;14752;Sato Akihito;Feb 15,20;1
Again My Life;https://manganelo.com/manga/ci922178;17011;unknown;Feb 15,20;1
Guardian Of The Witch;https://manganelo.com/manga/vw922171;28319;Sakano Asahi;Feb 15,20;1
Madan No Ou To Michelia;https://manganelo.com/manga/le922189;29512;Kawaguchi Tsukasa;Feb 16,20;1
Villain Initialization;https://manganelo.com/manga/mc922174;57527;CuZn Moyou Tangman Culture;Feb 16,20;1
The Bright Moon;https://manganelo.com/manga/hw921878;45201;unknown;Feb 17,20;1
Yasashii Shirokuma;https://manganelo.com/manga/sc922203;9781;Shirosame;Feb 18,20;1
The Count Chose An Unladylike Lady;https://manganelo.com/manga/nv922212;26774;Sakano Mamu;Feb 18,20;1
Azure Legacy;https://manganelo.com/manga/os922170;31750;I Eat Tomatoes;Feb 19,20;1
The Devil King In Another World;https://manganelo.com/manga/rf921709;38065;KIM Sang-Min;Jan 03,20;1
The Story Of An Engaged Couple That Doesn't Get Along;https://manganelo.com/manga/hu921702;96072;Kujira Hachiya;Jan 03,20;1
The Strongest Dull Prince’S Secret Battle For The Throne;https://manganelo.com/manga/mg921727;112101;Kokuichi,Aoi Kazuhide;Jan 06,20;1
Gokufuri Kyohi Shite Tesaguri Sutato! Toku-Ka Shinai Hira, Nakama To Wakarete Tabi Ni Deru;https://manganelo.com/manga/nk921730;186266;Kokuichi,Aoi Kazuhide;Jan 07,20;1
Delicious!;https://manganelo.com/manga/pg921763;6506;Kobayashi Miyuki,Ayumi Yui;Jan 09,20;1
Kitai Fuku Ga Aru;https://manganelo.com/manga/rd921759;17902;TSUNEKI Netarou;Jan 09,20;1
Kondo Attara ×× Shiyou Ka;https://manganelo.com/manga/dt921764;23310;IIDA Yone;Jan 09,20;1
Code Geass : Lelouch The Private Home Tutor;https://manganelo.com/manga/vr921765;33645;Urushidama;Jan 09,20;1
How To Treat Magical Beasts: Mine And Master's Medical Journal;https://manganelo.com/manga/how_to_treat_magical_beasts_mine_and_masters_medical_journal;175278;Kaziya;Jan 09,20;1
After The Work Is Finished;https://manganelo.com/manga/xv921771;10948;unknown;Jan 10,20;1
Infinity;https://manganelo.com/manga/zo921775;41697;Suzuki Paisen;Jan 10,20;1
Yamaraashi No Ondo;https://manganelo.com/manga/fp921784;37337;Natsume Tsuno;Jan 11,20;1
Kami Skill (Kokyuu) Suru Dake De Level Up Suru Boku Wa, Kamigami No Dungeon E Idomu;https://manganelo.com/manga/md921782;159355;Shippo Senoo,Butabara;Jan 11,20;1
Class Teni De Ore Dake Haburaretara, Doukyuu Harem Tsukuru Koto Ni Shita;https://manganelo.com/manga/vo921787;395442;Kneesock lolice;Jan 11,20;1
Shin Megami Tensei Iii - Nocturne 4-Koma Gag Battle;https://manganelo.com/manga/oa921805;13329;Various;Jan 12,20;1
Lee Doona!;https://manganelo.com/manga/bo921794;17290;Song ah min;Jan 12,20;1
Shinrigaku De Isekai Harem Kenkokuki;https://manganelo.com/manga/ay921800;126062;Yuukyu;Jan 12,20;1
Eiyu-Oh, Bu Wo Kiwameru Tame Tensei Su, Soshite, Sekai Saikyou No Minarai Kisi;https://manganelo.com/manga/je921791;158732;Hayaken;Jan 12,20;1
Shi Ni Modori, Subete Wo Sukuu Tame Ni Saikyou He To Itaru;https://manganelo.com/manga/ry921808;91730;. Mei.;Jan 13,20;1
Erabareru Onna Ni Onarinasai;https://manganelo.com/manga/iw921813;31104;Dewi Sukarno;Jan 14,20;1
Rokujo Hitoma;https://manganelo.com/manga/es921814;59341;Kashima Ui;Jan 14,20;1
"I Won't Become A Villainess. I'm Just A ""normal"" Duke's Daughter!";https://manganelo.com/manga/ix921816;125377;Mei.,Yuhazu;Jan 14,20;1
Type-Moon Gakuen - Chibi Chuki!;https://manganelo.com/manga/dp921844;11141;Hanabana Tsubomi, TYPE-MOON;Jan 16,20;1
Gakuen Heaven Returns;https://manganelo.com/manga/dw921843;29525;Fujisawa Keigo, Kyuushuu Danji, Mikage Tsubaki;Jan 16,20;1
Sei No Gekiyaku;https://manganelo.com/manga/al921854;98783;Mizuta Yuki;Jan 16,20;1
Midori No Tomari Ki;https://manganelo.com/manga/km921857;13000;Teshima Chia;Jan 17,20;1
The World Is Full Of Monsters Now, Therefore I Want To Live As I Wish;https://manganelo.com/manga/yy921856;95610;Yosshaa!;Jan 17,20;1
Hongmao And Lantu: Legend Of The Seven Swords;https://manganelo.com/manga/ml921883;8841;He Mengfan;Jan 18,20;1
Kitanai Kimi Ga Ichiban Kawaii;https://manganelo.com/manga/vg921868;32934;Manio;Jan 18,20;1
Shiraishi-Kun's Classmates;https://manganelo.com/manga/ax921891;29512;Chinoku;Jan 19,20;1
Cleopatra And The Iron Cross;https://manganelo.com/manga/rz921895;90598;Manabe Jouji;Jan 19,20;1
Super Doubutsuuzu;https://manganelo.com/manga/qh921919;7895;Yuuki Kikuchi;Jan 20,20;1
5Toubun No Hanayome - Yotsuba Doujins;https://manganelo.com/manga/zr921903;22224;unknown;Jan 20,20;1
Minna-Sama Eto Vu Pure;https://manganelo.com/manga/on921917;24500;Tamaru Tokihiko;Jan 20,20;1
Aida Ni Hatachi;https://manganelo.com/manga/ri921918;75780;Saotome Yagi;Jan 20,20;1
Solo Auto-Hunting;https://manganelo.com/manga/nr921907;86389;Black Seed Entertainment;Jan 20,20;1
Onnanoko Gare!;https://manganelo.com/manga/kb921926;20575;Kawayuka Taro;Jan 21,20;1
Senpai Ni Mayu To Ore;https://manganelo.com/manga/si921922;25969;unknown;Jan 21,20;1
Toudoku Ni Ita;https://manganelo.com/manga/cf921928;49730;Miyashita Akira;Jan 21,20;1
Love Deathster;https://manganelo.com/manga/iq921933;16357;Sakaki Kenji;Jan 22,20;1
Sakura Nadeshiko;https://manganelo.com/manga/un921940;25037;Haga Yui;Jan 22,20;1
The Undying Engagement Seal Of The Doomed Witch And The Young Master Who Leapt Through Time;https://manganelo.com/manga/mx921932;64669;Azuya Chitose;Jan 22,20;1
Kanojo Wa Mizumizushii;https://manganelo.com/manga/wi921950;62270;Kai Ikada;Jan 23,20;1
Meidea Reincarnation Theory - The World's Worst Witch;https://manganelo.com/manga/qp921951;71038;Natsunishi Nana,Yuuma Midori;Jan 23,20;1
The Baby Isn’T Yours;https://manganelo.com/manga/gj921942;80324;unknown;Jan 23,20;1
Sokuochi Mayuri-Chan;https://manganelo.com/manga/oo921958;21648;Mizukami Satoshi;Jan 24,20;1
The Undead Lord Of The Palace Of Darkness;https://manganelo.com/manga/wg921955;80012;Updating;Jan 24,20;1
Another Emperor Reborn;https://manganelo.com/manga/dq921961;39918;Ji le niao tu;Jan 25,20;1
Sex And Dungeon;https://manganelo.com/manga/rj921964;376007;Mikansukii,Sahara Gensei;Jan 25,20;1
Picking Up A Shool Beauty To Be Wife;https://manganelo.com/manga/jf921979;40530;unknown;Jan 26,20;1
I Won't Get Bullied By Girls;https://manganelo.com/manga/tu921982;43759;FeiTie Xingzhe;Jan 26,20;1
The Correct Way To Catch Pet Waifus;https://manganelo.com/manga/gm921981;44922;wan mei shi jie manhua;Jan 26,20;1
The Hormonal Trap;https://manganelo.com/manga/cz921987;15636;Wb;Jan 27,20;1
World End Solte;https://manganelo.com/manga/jv921998;15244;Ikeda Takashi;Jan 28,20;1
The Sakazuki Stepbrothers;https://manganelo.com/manga/uv922008;9351;Youichi is a gruff boy of few words that goes to a school full of problematic students. Chikage is an innocent and friendly boy that goes to a prestigious school. These boys are very different and bec;Jan 29,20;1
The Archbishop Is Searching For A Marriage Partner;https://manganelo.com/manga/ip922020;56499;Ema Okadachi;Jan 30,20;1
Isekai Ntr;https://manganelo.com/manga/ai922024;162605;Gorillan Do;Jan 30,20;1
Introduction To The Theory Of Love;https://manganelo.com/manga/rs921028;42720;Anko;Nov 02,19;1
Engineer X Fence;https://manganelo.com/manga/dc921025;56163;Junah;Nov 02,19;1
I'll Be Managing Your Desires;https://manganelo.com/manga/ed921022;58357;Beuho;Nov 02,19;1
Shokkan Harassment;https://manganelo.com/manga/xy921027;92790;Shimahokke;Nov 02,19;1
I Was Caught Up In A Hero Summoning, But That World Is At Peace;https://manganelo.com/manga/we921002;288909;Toudai,Jirou Heian;Nov 02,19;1
I Will Always Guard You;https://manganelo.com/manga/zh921045;48242;Shirosaki;Nov 04,19;1
Eirun Last Code;https://manganelo.com/manga/uv921041;111893;Ryuuichi Sadamatsu,Ryuunosuke Azuma,Konomu Sekiyama,Akemi Mikoto;Nov 04,19;1
Till The Next Time;https://manganelo.com/manga/ln921065;24027;Zhi Shi Bang,Jing Chuan;Nov 05,19;1
Yuriyon;https://manganelo.com/manga/sw921080;29653;Ayano Ayano;Nov 06,19;1
Your Vision;https://manganelo.com/manga/zc921063;30264;A Yan,Zhong 1;Nov 06,19;1
5 Minutes With You At A Convenience Store;https://manganelo.com/manga/bl921078;30771;Nozomi Ichinaga;Nov 06,19;1
The Man-Killer Otokoro-San;https://manganelo.com/manga/iw921092;96712;Shin Tokushima;Nov 06,19;1
Crash Bandicoot;https://manganelo.com/manga/ee921097;19551;Takahiro Yamashita;Nov 07,19;1
Mushoku Tensei: Even If It's A 4-Koma, I'll Get Serious;https://manganelo.com/manga/jg921105;37599;Rifujin na Magonote,Kaede Nogiwa;Nov 07,19;1
Aroma-Chan Wa Konya Mo Hazukashii;https://manganelo.com/manga/wj921134;65300;Chiyo Kenmotsu;Nov 11,19;1
Mana-Senpai's Request;https://manganelo.com/manga/rk921137;62544;Kisaragi Yoshinori,Aonoharu;Nov 12,19;1
Azure War;https://manganelo.com/manga/gn921164;21751;Fanqi Anime;Nov 15,19;1
Let's La Gon;https://manganelo.com/manga/sj921204;14599;Fujio Akatsuka;Nov 19,19;1
Secret Reverse: Marvel + Jump Collaboration;https://manganelo.com/manga/fo921226;35435;Kazuki Takahashi;Nov 22,19;1
Bomba!;https://manganelo.com/manga/gb921249;14637;Osamu Tezuka;Nov 26,19;1
Nouryoku: Shujinkou Hosei;https://manganelo.com/manga/bm921272;30065;Mohiro Kitoh,Tohma;Nov 29,19;1
Mission In Harem;https://manganelo.com/manga/ly921277;42571;Sakuraebi Shampoo;Nov 29,19;1
Chiming Of The Bell;https://manganelo.com/manga/qr920849;25414;Takahi Rohon;Oct 12,19;1
Sadako At The World's End;https://manganelo.com/manga/cc920850;45510;Koma Natsumi;Oct 12,19;1
To Make This World A Flower;https://manganelo.com/manga/ui920855;69116;Yoshiyuki Kazumi;Oct 12,19;1
Die Before Dawn;https://manganelo.com/manga/xv920884;39124;Mahiro Okita;Oct 16,19;1
Boku Datte, Kiss Shitai;https://manganelo.com/manga/ro920890;58385;Yukari Hosobori;Oct 17,19;1
Underworld Incorporated;https://manganelo.com/manga/ai920900;14591;Crimmer;Oct 18,19;1
Fake Sister;https://manganelo.com/manga/ts920370;36427;Ou baba;Oct 18,19;1
Jk Goddess And Yuruyuru Ts Life!;https://manganelo.com/manga/ne920901;63917;Fuyuki;Oct 18,19;1
The Emphatic Prisoner Of Love;https://manganelo.com/manga/vk920353;74289;Cloud Studio,Man Ke Culture,Forest Rain and Dew Studios,Cui Yuan;Oct 19,19;1
Trick Code;https://manganelo.com/manga/tx920921;18044;Fantasy Turtle;Oct 20,19;1
Yasha Gozen;https://manganelo.com/manga/bc920937;21330;Ryouko Yamagishi;Oct 22,19;1
The Corporate Slave And The Runaway Girl;https://manganelo.com/manga/ps920973;60983;Shore (Tatsunokosso);Oct 28,19;1
Do You Like Fluffy Boobs? Busty Girl Anthology Comic;https://manganelo.com/manga/tx920972;267622;Kurou,Fumihiro Kiso,Nigou Shouji,Rouka,Aki Hamaji,Ekakibito,Melty Nanase,Byte,Eria Haseyoshi,Mashimaru,Hazuki Minamino,Morisu Nakamura,Suiheisen,Junya Takeuchi,Bow Vanilla;Oct 28,19;1
Sv Koi No Shinchoku Ni Tsuite;https://manganelo.com/manga/ru920976;63021;Akira Nakata;Oct 29,19;1
Tenshi To Akuto!!;https://manganelo.com/manga/zx920979;74725;SILVA;Oct 29,19;1
Mingo: Don't Think All Italians Are Popular;https://manganelo.com/manga/qp920983;22756;PEPPE;Oct 31,19;1
Our Colors;https://manganelo.com/manga/lz920638;18819;Gengorou Tagame;Sep 18,19;1
Anglerfish;https://manganelo.com/manga/om919990;109511;Evy;Sep 18,19;1
Nadesico;https://manganelo.com/manga/dq920657;13286;Kia Asamiya;Sep 19,19;1
Enjigakari;https://manganelo.com/manga/fv920653;39415;Yasuto Miura;Sep 19,19;1
Tensei Shitara Warui Kuni No Musume Deshita;https://manganelo.com/manga/bq920665;121894;Yuu Geni;Sep 21,19;1
Nazotoki Drill;https://manganelo.com/manga/ix920687;22917;Taichi Kawazoe;Sep 23,19;1
Micrina Of Border;https://manganelo.com/manga/xk920688;24041;Hidekichi Matsumoto;Sep 23,19;1
Hello (Rom-Com) World;https://manganelo.com/manga/eg920690;39186;Oronamin D (Ripo Day),Mado Nozaki;Sep 23,19;1
Eishashitsu No Wakaba-San;https://manganelo.com/manga/dy920703;98944;Katsumi Aoyama;Sep 26,19;1
War Of Mountains And Seas;https://manganelo.com/manga/sx921522;72827;Khoo Fuk Lung;Dec 22,19;1.1
Delicious Scandal;https://manganelo.com/manga/fn921649;21767;Lim Solee;Dec 30,19;1.1
Furious Yama;https://manganelo.com/manga/dd922132;12744;unknown;Feb 09,20;1.1
My Slave Is Way Too Cheerful;https://manganelo.com/manga/my922005;57167;Bushiyama;Jan 29,20;1.1
My High School Life Is Physically Isolated @comic;https://manganelo.com/manga/pv921050;92565;Kisetsu Morita,Rama;Nov 04,19;1.1
Ultima: The Terror Of Exodus;https://manganelo.com/manga/qw921228;18946;Tanaka Seiji;Nov 22,19;1.1
Trinity Seven: Liese Chronicle;https://manganelo.com/manga/lu920754;53750;Akinari Nao,Saitou Kenji,Chako Abeno;Sep 30,19;1.1
Demon Express Delivery;https://manganelo.com/manga/sk921303;27150;Go Nagai;Dec 02,19;1.2
Seven Swords Dominate;https://manganelo.com/manga/ln921364;138324;Sakae Esuno,Bokuto Uno;Dec 15,19;1.2
Yue Chen Yin;https://manganelo.com/manga/hu921312;41817;Fei Qing,Yan Xue Fan Tuan;Feb 08,20;1.2
Yggdra Silver;https://manganelo.com/manga/bn922121;21233;KARAAGE Tarou;Feb 09,20;1.2
Coffee Moon;https://manganelo.com/manga/yg922134;8467;Hua Xiang Gong Zuo Shi;Feb 10,20;1.2
Kaettekita Motoyuusha;https://manganelo.com/manga/gl921949;150976;nishi,NARUSAWA Kei;Jan 28,20;1.2
Neolith Girl;https://manganelo.com/manga/co921010;38526;Jae Ah,Han Ga Ram;Nov 02,19;1.2
Starfall;https://manganelo.com/manga/hh919770;75395;Lapin;Dec 28,19;1.3
Tensei Kenja Wa Musume To Kurasu;https://manganelo.com/manga/fu922191;128733;Ryo Kotohira,Uso Uzaki;Feb 16,20;1.3
The Comic Changes My Destiny;https://manganelo.com/manga/gs920283;82763;Tian Ping,Shen Luo Jusaka,Mao Da Wen;Sep 22,19;1.3
Yamitsuki;https://manganelo.com/manga/ss921299;46019;Mochi Au Lait,Minoda Kaidou (MNDH);Dec 03,19;1.5
I Want To See A Naked Girl In Real Life;https://manganelo.com/manga/lv921323;137927;Nishizawa 5miri;Dec 13,19;1.5
Ooyanki! ~My Apartment Life With A Yankee Landlord~;https://manganelo.com/manga/uo920737;117177;Hinata Aoi;Jan 02,20;1.5
Let's Try Sm With Me!;https://manganelo.com/manga/hj920386;212300;Jangmi;Dec 01,19;2
Buttobi Itto;https://manganelo.com/manga/io921350;17336;Motoki Monma;Dec 06,19;2
Cultivation Of The Cross Dresser;https://manganelo.com/manga/oh921353;18161;Shi to ren;Dec 06,19;2
Matome★Groggy Heaven;https://manganelo.com/manga/vc921335;41182;Den Mitao;Dec 07,19;2
Boys Of The Dead;https://manganelo.com/manga/ps921367;61923;Tomita Douji;Dec 07,19;2
Urgent Request: How To Raise An Abandoned Dragon;https://manganelo.com/manga/pl921122;204704;Assamutee Topia,Kitoracon;Dec 07,19;2
The Troubles Of A Fortune Teller;https://manganelo.com/manga/bl919749;93054;Rasupe;Dec 09,19;2
Love Is All!;https://manganelo.com/manga/dy921424;65193;Youko Toriumi;Dec 12,19;2
Boku Ga Watashi Ni Naru Tame Ni;https://manganelo.com/manga/xj921431;19101;Yuuna Hirasawa;Dec 13,19;2
Love Puzzle (Pxtar Manga Studio);https://manganelo.com/manga/mr921439;11938;Pxtar Manga Studio;Dec 14,19;2
Night Hag;https://manganelo.com/manga/gz920622;78497;Yuan;Dec 14,19;2
White Wheel Of Fortune;https://manganelo.com/manga/zr919556;82718;unknown;Dec 15,19;2
Shiori's Diary;https://manganelo.com/manga/yh921254;287052;Tsuyatsuya;Dec 15,19;2
Virgin Terminator Girlfriend;https://manganelo.com/manga/qf920435;340975;Ryou Murahashi;Dec 15,19;2
Good Morning Psychopath;https://manganelo.com/manga/ij921467;19721;Aomi Gemba;Dec 16,19;2
Yukinoshita-San And Her Manager;https://manganelo.com/manga/zi921379;47729;unknown;Dec 16,19;2
You Don't Want A Childhood Friend As Your Mom?;https://manganelo.com/manga/vh921473;98121;Tsumikidou;Dec 17,19;2
